Price,Close,High,Low,Open,Volume
Ticker,WMT,WMT,WMT,WMT,WMT
Datetime,,,,,
2025-02-10 14:30:00+00:00,101.62000274658203,102.29000091552734,101.25,101.94999694824219,2299762
2025-02-10 15:30:00+00:00,101.8550033569336,102.33000183105469,101.56999969482422,101.63310241699219,2036592
2025-02-10 16:30:00+00:00,101.98999786376953,102.23999786376953,101.81320190429688,101.8565444946289,1722362
2025-02-10 17:30:00+00:00,102.24500274658203,102.40850067138672,101.98500061035156,101.99500274658203,1096794
2025-02-10 18:30:00+00:00,102.40010070800781,102.45500183105469,102.19000244140625,102.24500274658203,957891
2025-02-10 19:30:00+00:00,102.47000122070312,102.62999725341797,102.35310363769531,102.41000366210938,1220836
2025-02-10 20:30:00+00:00,102.91000366210938,102.93000030517578,102.30999755859375,102.47560119628906,1659480
2025-02-11 14:30:00+00:00,102.4000015258789,102.8499984741211,102.05999755859375,102.62000274658203,1884230
2025-02-11 15:30:00+00:00,102.16000366210938,102.72000122070312,102.1500015258789,102.4000015258789,1305699
2025-02-11 16:30:00+00:00,102.37999725341797,102.38999938964844,101.93000030517578,102.17500305175781,1295183
2025-02-11 17:30:00+00:00,102.2699966430664,102.41999816894531,102.16500091552734,102.37999725341797,1089805
2025-02-11 18:30:00+00:00,101.94499969482422,102.45999908447266,101.8499984741211,102.2699966430664,1114037
2025-02-11 19:30:00+00:00,102.04000091552734,102.30999755859375,101.91500091552734,101.94349670410156,1317902
2025-02-11 20:30:00+00:00,102.4800033569336,102.5,102.02999877929688,102.05000305175781,1638522
2025-02-12 14:30:00+00:00,102.99500274658203,103.36000061035156,102.04000091552734,102.12000274658203,2766758
2025-02-12 15:30:00+00:00,103.32499694824219,103.56500244140625,102.87000274658203,102.99500274658203,1777336
2025-02-12 16:30:00+00:00,103.875,103.9000015258789,103.22000122070312,103.31999969482422,1244819
2025-02-12 17:30:00+00:00,103.62999725341797,103.87999725341797,103.5250015258789,103.87000274658203,1135963
2025-02-12 18:30:00+00:00,103.41000366210938,103.69000244140625,103.30999755859375,103.62999725341797,1073727
2025-02-12 19:30:00+00:00,103.44560241699219,103.68699645996094,103.32499694824219,103.41999816894531,2112153
2025-02-12 20:30:00+00:00,103.61000061035156,103.66999816894531,103.30000305175781,103.44380187988281,1701432
2025-02-13 14:30:00+00:00,103.89700317382812,104.05000305175781,103.52999877929688,104.0,1907147
2025-02-13 15:30:00+00:00,103.7699966430664,104.05999755859375,103.76000213623047,103.88670349121094,956192
2025-02-13 16:30:00+00:00,104.04000091552734,104.06500244140625,103.73500061035156,103.76000213623047,824076
2025-02-13 17:30:00+00:00,104.09500122070312,104.1698989868164,103.7699966430664,104.05000305175781,895528
2025-02-13 18:30:00+00:00,104.85030364990234,104.91000366210938,104.08999633789062,104.08999633789062,1546619
2025-02-13 19:30:00+00:00,104.93000030517578,105.23999786376953,104.76000213623047,104.8550033569336,2209018
2025-02-13 20:30:00+00:00,105.05000305175781,105.1500015258789,104.87999725341797,104.91500091552734,1631251
2025-02-14 14:30:00+00:00,104.6500015258789,105.30000305175781,103.5999984741211,105.30000305175781,3403434
2025-02-14 15:30:00+00:00,104.30000305175781,104.7300033569336,104.22000122070312,104.6406021118164,1433214
2025-02-14 16:30:00+00:00,104.16500091552734,104.33000183105469,103.88999938964844,104.30000305175781,1405338
2025-02-14 17:30:00+00:00,104.22000122070312,104.3550033569336,103.94999694824219,104.16500091552734,1120759
2025-02-14 18:30:00+00:00,104.42500305175781,104.45500183105469,104.13999938964844,104.21499633789062,1052453
2025-02-14 19:30:00+00:00,104.11000061035156,104.43000030517578,104.0999984741211,104.42500305175781,1196185
2025-02-14 20:30:00+00:00,104.01000213623047,104.17500305175781,103.94999694824219,104.10759735107422,1732560
2025-02-18 14:30:00+00:00,103.16999816894531,103.98999786376953,102.91500091552734,103.72000122070312,4956744
2025-02-18 15:30:00+00:00,102.8499984741211,103.55000305175781,102.56999969482422,103.16999816894531,2407164
